municipio,area_km2,km_vial,densid_vial
Municipio Nueva Guinea,2682.1652886894094,651.6104097839675,0.24294192924343036
El Viejo (Municipio),1304.4748138848215,622.975216819609,0.47756783817415627
Corinto (Municipio),60.556765738437356,15.18613642193704,0.2507752228302692
Puerto Morazán (Municipio),511.25948063941615,146.8231402253752,0.28717930089383986
Somotillo (Municipio),726.7968205882225,270.92797925023274,0.3727699015399669
El Realejo (Municipio),104.93996605808728,48.42692181998426,0.46147262705591663
Santo Tomás del Norte (Municipio),41.22024983623269,26.5785783341417,0.6447942076949537
San Juan de Cinco Pinos (Municipio),60.82601212779555,48.6823175384819,0.8003535960273093
San Francisco del Norte (Municipio),119.8074113501236,67.33486251374221,0.562025852615776
San Pedro del Norte (Municipio),71.00472527582575,13.55778012595091,0.1909419418677307
Villanueva (Municipio),800.0936213263449,293.34738920948433,0.36664132970238095
Chichigalpa (Municipio),220.74249865335395,128.90140872926924,0.5839446844881979
Chinandega (Municipio),663.9787305859545,289.3026916949432,0.43571078163849686
Municipio León,817.1091570786924,595.1160780971395,0.7283189436094232
Quezalguaque (Municipio),85.7321827135158,39.04233733661157,0.45539884907720296
Municipio Telica,394.2190958779611,153.61643904712216,0.3896727496292503
Posoltega (Municipio),149.5048062110598,56.64845074714498,0.37890722166599045
La Paz Centro (Municipio),965.4326268723945,242.9604896970633,0.25165970460741066
Municipio Larreynaga,746.6144244549794,349.58486644730783,0.4682267781023667
Nagarote (Municipio),712.4730616074288,328.98785107078214,0.46175479298619965
Municipio Achuapa,391.9635337515004,117.05928637164627,0.2986484106091876
Municipio El Sauce,700.2686584414421,220.44172026355724,0.3147959252584357
Municipio Santa Rosa del Peñón,228.41254018229898,107.16943751415047,0.4691924420113588
Municipio San Juan de Limay,438.08576184444155,198.91470071400576,0.4540542469961344
El Jicaral (Municipio),472.7595286360154,185.99068211351963,0.3934149834063242
Municipio Las Sabanas,68.86487473876332,39.525538150101475,0.5739578892728743
Municipio San José de Cusmapa,130.96937874632331,74.90238637159739,0.5719076251913588
Municipio San Lucas,154.43148866487454,127.4313238107483,0.8251641223719717
Somoto (Municipio),467.75557678679536,280.09080065029156,0.5987973517586899
Municipio Yalagüina,71.40755290770491,64.71809696278275,0.9063200505754853
Totogalpa (Municipio),149.6602867894428,120.24749733866284,0.8034696439399395
Palacagüina (Municipio),166.63741166503954,135.34081471550243,0.8121874515643169
Municipio Telpaneca,357.04058423879934,237.61113086632434,0.6655017422540486
Municipio San Juan de Río Coco,185.69128450427235,177.42355503321699,0.9554759422709194
Municipio Pueblo Nuevo,205.46148176060873,135.747858077261,0.6606973575486337
Municipio Estelí,803.3040483115603,477.3749284005369,0.594264313000683
Municipio Condega,398.7699506385081,220.40430949523255,0.5527104265061158
Municipio San Nicolas,160.97323195559372,94.13771416809007,0.5848035292852852
Municipio La Trinidad,277.65423698861326,176.65592648535448,0.6362443029911308
Municipio Santa María,161.21823465914227,102.33191830011128,0.6347415881117161
Municipio Macuelizo,259.6080297305093,120.69272487751712,0.4649036665114108
Municipio Dipilito,105.22247575573851,67.18221747184245,0.6384778250969687
Municipio Monzonte,220.76234496447643,86.98654133904043,0.3940279822314703
Ocotal (Municipio),86.86290722497691,77.83755418539549,0.8960965810618616
Municipio Ciudad Antigua,124.06105891645697,86.82019790691835,0.6998182883912292
Municipio San Fernando,234.62411610678865,79.48316910966554,0.3387681131358592
Municipio El Jacaro,429.0452631948638,237.0426075117039,0.5524885783531978
Municipio Jalapa,660.6950909255075,503.11830662199304,0.7614984786964596
Municipio Murra,428.92461064281076,225.2251699669208,0.5250926721816814
Municipio Quilalí,351.43402839485424,280.68958075765573,0.7986977870062331
Municipio Wiwilí de Nueva Segovia,406.660509448205,295.2116821486939,0.7259413572005423
Villa El Carmen (Municipio),570.2850800683589,341.7502023652928,0.5992620433351122
San Rafael del Sur (Municipio),364.11036555152754,271.26543359712196,0.7450088194721649
San Francisco Libre (Municipio),909.8524889020113,197.54786735125128,0.21712076381705284
Tipitapa (Municipio),1088.9763782681769,379.70568560753884,0.3486812874778727
Mateare (Municipio),487.0909632673352,177.02468749691656,0.3634325020309569
Diriamba (Municipio),352.94501069006157,253.342918286909,0.7177971372695843
Dolores (Municipio),2.9155584498244425,4.379807924489199,1.502219214556623
Jinotepe (Municipio),287.70091629298844,237.17805172254612,0.824391019599705
La Conquista (Municipio),89.60280592885233,67.59025112450705,0.754331858515413
La Paz de Carazo (Municipio),16.061387895373727,23.561060270136146,1.4669380020964815
Santa Teresa (Municipio),215.55930210538068,130.92941342257106,0.6073939382052901
El Rosario (Municipio),13.646686640755476,27.749997110885964,2.0334604172716415
San Marcos (Municipio),120.11025694797561,125.91589692752788,1.0483359217362005
La Concepción (Municipio),67.56085004611991,76.01263121643733,1.125098798557861
Catarina (Municipio),18.215506033896833,23.57179233065384,1.294050919408421
Masatepe (Municipio),62.52735970671387,133.96572895778044,2.1425137665519545
Nandasmo (Muncipio),17.574873862714643,38.86659765565988,2.2114865778989143
Niquinohomo (Municipio),31.431150820766632,64.544266721627,2.0535126788606943
San Juan de Oriente (Municipio),10.942270789931527,11.804506728887175,1.078798629234165
Altagracia (Municipio),1087.857354274646,90.73349371543962,0.08340569042339037
Cárdenas,1288.0819940042709,122.84787297198896,0.09537271194211076
San Juan del Sur (Municipio),418.42926773086737,218.63654234458315,0.5225173265967848
Moyagalpa (Muncipio),250.62250626488336,29.503800413242683,0.11772207074675116
San Jorge (Municipio),111.29180984653479,35.25616256084087,0.316790270635882
Tola (Municipio),476.1383367590437,262.1780412863888,0.5506341771825602
Belén (Municipio),250.81302920887032,94.49616973590358,0.37675941331265417
Buenos Aires (Municipio),418.2733343690984,34.044773615557496,0.08139360274283047
Potosí (Municipio),147.81638813331554,124.49804566487131,0.8422479214725946
Rivas (Municipio),349.0722348817323,210.3717605726326,0.6026596777137195
Diriomo (Municipio),53.16027267697712,95.43622107648318,1.795254543865707
Diriá (Municipio),30.49543911749918,29.416500869421718,0.9646196848020353
Nandaime (Municipio),387.7085002570061,222.7862839791024,0.5746231610383077
Granada (Municipio),1466.1333752646374,239.36903669583003,0.16326552599801766
Tisma (Municipio),127.07140572644687,71.24120862260577,0.5606391793285924
Masaya (Municipio),150.30125993136866,239.05483823790388,1.5905045529695647
Nindirí (Municipio),150.93114343048924,134.13435850859744,0.8887122661359318
Muncipio San Sebastián de Yalí,401.04289376707425,317.6600462977468,0.792084964563027
Municipio La Concordia,148.76647574601898,96.12783123240162,0.6461659506978945
Municipio San Rafael del Norte,241.62989687849415,260.5410211962126,1.0782648362724259
Municipio de Jinotega,882.5214718477508,1034.9973069574946,1.1727729465782883
Municipio Santa María de Pantasma,552.3870238796842,484.43331862538844,0.876981713333844
Municipio El Cuá,777.3115536553097,524.5966825711306,0.6748859966177182
Municipio San José de Bocay,3792.0013425104426,425.13256514494174,0.11211297854221976
Municipio Wiwilí de Jinotega,2527.62844951514,590.2069651158736,0.23350226384304604
Municipio San Isidro,290.86397276256685,155.8076390005882,0.535671838353712
Municipio Sebaco,291.76076599686735,154.30505291952338,0.5288752666668697
Municipio Ciudad Darco,734.4626676983175,409.45077288151407,0.5574834377418582
Municipio Terrabona,245.6977770378885,141.79747300270105,0.5771215137238901
Municipio San Dionisio,169.82054282931858,148.5801172058642,0.8749242861342018
Municipio Matagalpa,645.6344083704946,640.7182252970637,0.992385500199968
Municipio Esquipulas,221.89886016577395,176.70053515126344,0.7963111438213598
Municipio Muy Muy,377.44152868024725,196.68132241128907,0.5210908378285775
Municipio El Tuma - La Dalia,649.0170168918877,494.0539154968776,0.7612341473924349
Municipio San Ramon,427.2932062257018,286.25334400468086,0.6699225258767117
Municipio Matiguás,1535.8751941675112,507.7143813720882,0.33057007711312386
Municipio Rancho Grande,600.9208018787554,238.93101389177139,0.39760815925287146
Municipio Teustepe,640.4986830655225,246.545277160483,0.3849270633633163
Municipio San José de Los Remates,283.09170466592104,149.91656890828938,0.5295689221455896
Municipio Santa Lucía,123.40095465303894,78.26288807822596,0.6342162287015873
San Lorenzo (Municipio),791.999730056267,174.7743749630525,0.22067479107680477
Municipio Boaco,1088.2154714809544,456.64964085678486,0.4196316380572402
Municipio Camoapa,1490.5124692737245,453.3104782924952,0.3041306179165196
Comalapa (Municipio),926.6934921219104,229.53184650207382,0.24768906704686122
Municipio San Francisco de Cuapa,276.3047432252834,142.906952282647,0.5172077417655067
Juigalpa (Municipio),1040.9789606032368,310.2884327713094,0.2980736830564763
Morrito (Municipio),947.3592599144041,172.99696977280257,0.1826096783900473
Acoyapa,3124.2723364969715,322.68927144085825,0.10328461692384576
Municipio Santo Domingo,679.7774313802689,207.9049643384291,0.3058426990085327
Municipio Villa Sandino,687.7397438333182,187.13999136586193,0.27210873450875844
Municipio Santo Tomás,495.7288610239408,160.1998564323288,0.3231602374359077
Municipio La Libertad,775.8876571170945,272.92317143320986,0.3517560421663225
Municipio San Pedro de Lóvago,462.34187000528823,171.420241345015,0.3707651252590519
Municipio El Coral,305.50233022367246,131.1680525601016,0.42935205261468007
San Miguelito (Municipio),1351.8611957014373,263.5915867082662,0.19498420958188464
Municipio El Almendro,1017.4286793097319,312.61934755378985,0.30726413940472413
San Carlos (Municipio),2722.6987461158196,422.1668237469959,0.1550545481204102
Municipio San Juan de Nicaragua,1641.2329492610304,6.133369808220236,0.003737050131111371
Municipio Waslala,1340.070981154595,420.3484764256309,0.31367627710545737
Municipio Siuna,3553.517335468461,621.1502536478737,0.1747987120952056
Municipio Mulukukú,1686.1716866069664,308.6705470542196,0.18305997515315195
Municipio Paiwas,2212.750879434707,389.2626679544328,0.17591798135625553
Municipio Río Blanco,673.0957011363014,190.36992973408482,0.2828274336215602
Municipio Waspán,8933.474328062519,700.0219600179043,0.07835943041991415
Municipio Bonanza,1926.8486271223185,187.27791662568342,0.09719389161637283
Municipio Rosita,2205.423782988647,315.52098246923595,0.14306591998462193
Municipio Puerto Cabezas,6227.260800359992,683.5670545576718,0.10977010221222074
Municipio Prinzapolka,6923.498997033406,191.02700195994146,0.027591107045988317
Municipio La Cruz de Río Grande,3345.126556094194,167.01029534113786,0.04992645047670211
Municipio Desembocadura de Cruz Río Grande,1792.6284371416193,14.505274503074777,0.008091623563778625
Municipio El Ayote,829.478929865345,177.36196318859743,0.21382334957849963
Municipio El Tortugero,3094.209527740176,223.12161588687508,0.07210940755192802
Municipio Laguna de Perlas,2045.560179404909,54.68233529953397,0.02673220560807068
Municipio Muelle de los Bueyes,1399.1728957735088,254.55567253292062,0.18193296432618064
Municipio El Rama,3748.8331412662337,519.4626382396823,0.13856648686802442
Municipio Kukra Hill,1327.6628645940139,167.4740793030901,0.12614202277496253
Municipio Bluefields,4525.3037764907285,129.71815675215174,0.02866507159719237
Managua (Municipio),336.21766734813934,580.1619521255959,1.7255546286473473
Ciudad Sandino (Municipio),71.53849511192061,76.94357749572443,1.075554879584029
El Crucero (Municipio),224.4942821917619,133.5926942319657,0.5950828365323421
Ticuantepe (Municipio),64.86740070331015,55.702392358416596,0.8587116449013831
El Castillo (Municipio),1664.9955682412956,202.6564329939674,0.12171589934502329
Corn Island,12.499414233627574,16.12229229297593,1.2898438272092474
